Link,ID,name,tag,description,date,developer,price,Recent_Description,Recent_Count,Recent_Percentage,Overall_Description,Overall_Count,Overall_Percentage,peak
https://store.steampowered.com/app/730/,730,Counter-Strike 2,"第一人称射击
射击
多人
竞技
动作
团队导向
电竞
战术
第一人称
玩家对战
在线合作
合作
策略
军事
战争
困难
贸易
拟真
快节奏
可模组化",二十多年来，在全球数百万玩家的共同铸就下，Counter-Strike 提供了精湛绝伦的竞技体验。而如今，CS 传奇的下一章即将揭开序幕，那就是 Counter-Strike 2。,2012 年 8 月 21 日,Valve,0,多半好评,59458,76.0,特别好评,8035630,87.0,1802853
https://store.steampowered.com/app/1363080/,1363080,庄园领主 Manor Lords,"策略
中世纪
沙盒
模拟
城市营造
开放世界
单人
氛围
冒险
3D
角色扮演
动作
农场模拟
剧情丰富
生存
可模组化
第三人称
拟真
角色自定义
抢先体验",《庄园领主》是一款中古时期策略游戏，具备深入详尽的城市建造、富有战术深度的大规模战斗，以及复杂的经济和社会模拟。以中古时期领主的身分统治你的土地——坐看季节更迭，天气变化，城市兴衰。,2024 年 4 月 26 日,Slavic Magic,0,特别好评,30414,88.0,特别好评,30414,88.0,172605
https://store.steampowered.com/app/570/,570,Dota 2,"免费开玩
多人在线战术竞技
多人
策略
电竞
团队导向
竞技
动作
在线合作
玩家对战
困难
合作
即时战略
角色扮演
塔防
奇幻
角色自定义
重玩价值
动作角色扮演
模拟",每一天全球有数百万玩家化为一百余名Dota英雄展开大战。不论是游戏时间刚满10小时还是1000小时，比赛中总能找到新鲜感。定期的更新则保证游戏性、功能和英雄都能持续发展，Dota 2已真正地焕发了生命。,2013 年 7 月 9 日,Valve,0,多半好评,22935,74.0,特别好评,2230711,81.0,1291328
https://store.steampowered.com/app/578080/,578080,PUBG: BATTLEGROUNDS,"生存
射击
大逃杀
多人
第一人称射击
玩家对战
第三人称射击
动作
在线合作
战术
合作
第一人称
策略
抢先体验
竞技
第三人称
团队导向
困难
模拟
潜行",免费游玩《PUBG绝地求生》。 选取最佳战略位置着陆，搜寻武器和补给，并成为最后的幸存者小队，屹立于千变万化的战场之上。 组队加入战场，体验原汁原味的战术竞技，尽在《PUBG绝地求生》。,2017 年 12 月 21 日,"KRAFTON, Inc.",0,褒贬不一,18926,69.0,褒贬不一,2352694,58.0,3236027
https://store.steampowered.com/app/1172470/,1172470,Apex Legends™,"免费开玩
大逃杀
多人
第一人称射击
射击
第一人称
玩家对战
动作
英雄射击
团队导向
战术
科幻
生存
刷宝
角色自定义
欢乐
合作
故事架构丰富 
赛博朋克
电影式",由Respawn Entertainment开发制作，屡获殊荣的《Apex Legends》，是一款免费大逃杀英雄射击游戏。在这款革命性的新一代大逃杀英雄射击游戏中，掌控日益丰富且拥有强大技能的传奇角色，深度体验战术小队玩法及创新游戏元素。,2020 年 11 月 4 日,Respawn,0,褒贬不一,9795,59.0,多半好评,821709,78.0,624473
https://store.steampowered.com/app/427410/,427410,Abiotic Factor,"抢先体验
开放世界生存制作
在线合作
生存
制作
基地建设
科幻
合作战役
探索
第一人称射击
多人
沙盒
模拟
第一人称
建造
科学
冒险
外星人
玩家对战环境
沉浸式模拟",Abiotic Factor是一款合作生存制作类游戏（1—6名玩家）。游戏设定在一个超自然威胁泛滥的研究所里。身为地球上最优秀的科学家，你们必须团结一致，制造各种巧妙工具和武器，努力生存下去。你很清楚，生存之道只有一条：运用科学，干掉它们！,2024 年 5 月 2 日,Deep Field Games,0,好评如潮,2031,97.0,好评如潮,2031,97.0,15699
https://store.steampowered.com/app/2195250/,2195250,EA SPORTS FC™ 24,"足球
体育
控制器
多人
玩家对战
电竞
竞技
玩家对战环境
3D
本地多人
模拟
合作
在线合作
单人
拟真
第一人称
本地合作
孩童
动作
抢先体验",兼具由 HyperMotionV 提供技术支持的最真实的足球体验、由 Opta 优化的比赛风格和升级版 Frostbite™ 引擎的《EA SPORTS FC™ 24》邀您投身于这款世界性游戏。,2023 年 9 月 28 日,EA Canada & EA Romania,0,褒贬不一,6371,58.0,褒贬不一,57118,56.0,107109
https://store.steampowered.com/app/648800/,648800,Raft,"生存
多人
开放世界生存制作
合作
制作
开放世界
建造
基地建设
在线合作
冒险
沙盒
第一人称
单人
抢先体验
水底
模拟
动作
独立
策略
大型多人在线","Raft™ throws you and your friends into an epic oceanic adventure! Alone or together, players battle to survive a perilous voyage across a vast sea! Gather debris, scavenge reefs and build your own floating home, but be wary of the man-eating sharks!",2022 年 6 月 20 日,Redbeet Interactive,0,特别好评,3077,89.0,特别好评,262898,93.0,100474
https://store.steampowered.com/app/1151340/,1151340,Fallout 76,"开放世界
黑色喜剧
角色扮演
后末日
多人
资本主义
生存
基地建设
合作
射击
恐怖
大型多人在线角色扮演
探索
第一人称射击
血腥
暴力
单人
氛围
抢先体验
好评原声音轨",Bethesda Game Studios邀您进入《Fallout 76》的世界。在核弹爆炸的25年后，你和其他避难所居民进入了核爆之后的美国。加入《Fallout》系列故事选新推出的开放世界多人游戏，探索核战争留下的广阔废土。,2020 年 4 月 14 日,Bethesda Game Studios,0,多半好评,4619,75.0,多半好评,55902,76.0,72930
https://store.steampowered.com/app/413150/,413150,Stardew Valley,"农场模拟
像素图形
生活模拟
多人
角色扮演
放松
农业
模拟
制作
沙盒
独立
建造
单人
休闲
开放世界
2D
可爱
恋爱模拟
好评原声音轨
钓鱼",你继承了你爷爷在星露谷留下的老旧农场。带着爷爷留下的残旧工具和几枚硬币开始了你的新生活。你能适应这小镇上的生活并且将这个杂草丛生的老旧农场变成一个繁荣的家吗？,2016 年 2 月 26 日,ConcernedApe,0,好评如潮,18695,97.0,好评如潮,593790,98.0,236614
https://store.steampowered.com/app/553850/,553850,HELLDIVERS™ 2,"在线合作
多人
第三人称射击
动作
玩家对战环境
射击
合作
资本主义
科幻
太空
第三人称
撤离射击
喜剧
血腥
暴力
困难
好评原声音轨
心理恐怖
单人
开放世界",银河系最后的进攻力量。投入这款紧张刺激且疯狂的第三人称射击游戏，应征成为绝地潜兵，穿越战火肆虐的星系，为自由而战。,2024 年 2 月 8 日,Arrowhead Game Studios,0,褒贬不一,290506,41.0,褒贬不一,568711,57.0,458208
https://store.steampowered.com/app/1085660/,1085660,命运2,"免费开玩
开放世界
第一人称射击
大型多人在线角色扮演
刷宝射击游戏
合作
多人
玩家对战环境
玩家对战
射击
大型多人在线
刷宝
第一人称
科幻
动作
故事架构丰富 
冒险
太空
竞技
氛围",命运2是发生在一个独立进化的世界中的一款免费的大型多人线上动作游戏。你可以在任何时间与任何地点和你的朋友们进行游戏。,2019 年 10 月 1 日,Bungie,0,多半好评,5126,73.0,特别好评,592356,80.0,316651
https://store.steampowered.com/app/1145360/,1145360,Hades,"动作类 Rogue
轻度 Rogue
砍杀
独立
神话
动作
类 Rogue
好评原声音轨
单人
角色扮演
剧情丰富
迷宫探索
重玩价值
等角视角
困难
动作角色扮演
手绘
氛围
永久死亡
类魂系列",挑战死神，在地狱中杀出血路。由 Bastion、Transistor 和 Pyre 原班人马打造的全新地下城 类游 戏，为您带来爽 快 的 自 由 砍 杀 体验,2020 年 9 月 17 日,Supergiant Games,0,好评如潮,2633,96.0,好评如潮,231387,98.0,37586
https://store.steampowered.com/app/1086940/,1086940,Baldur's Gate 3,"角色扮演
选择取向
角色自定义
剧情丰富
回合制战斗
龙与地下城
冒险
电脑角色扮演
奇幻
在线合作
爱情
多人
策略
单人
合作战役
色情内容
职业导向
黑暗奇幻
战斗
控制器",召集你的团队，回到被遗忘的国度，开启一段记载着友谊与背叛、牺牲与生存、以及至上力量诱惑的传奇故事。,2023 年 8 月 3 日,Larian Studios,0,好评如潮,10057,96.0,好评如潮,537634,96.0,875343
https://store.steampowered.com/app/1142710/,1142710,Total War: WARHAMMER III,"策略
回合战略
大战略
即时战略
奇幻
即时战术
黑暗奇幻
战争
动作
战术
氛围
矮人
游戏工坊
多人
彩色
合作
玩家对战
单人
剧情丰富
在线合作",《Total War: WARHAMMER》三部曲的终末已经到来。集结你的军力，踏入混沌魔域！在这个变幻莫测的恐怖维度中，世界的命运将尘埃落定。于是你会诛灭那些恶魔…还是转而驾驭他们呢？,2022 年 2 月 16 日,CREATIVE ASSEMBLY,0,特别好评,1456,86.0,褒贬不一,69500,64.0,166519
https://store.steampowered.com/app/230410/,230410,Warframe,"免费开玩
动作角色扮演
刷宝射击游戏
第三人称射击
动作
角色扮演
第三人称
角色自定义
大型多人在线
在线合作
合作
单人
玩家对战环境
科幻
太空
射击
故事架构丰富 
砍杀
跑酷
忍者",在这个以故事为导向的免费在线动作游戏中，觉醒为一个不可阻挡的战士，并与你的朋友一起战斗。跟随着神秘的 Lotus 的指引，在广阔的星系中直面敌对的派系，提升你的战甲等级，建立一个具有毁灭性火力的军械库；并在这个惊心动魄，且拥有独特第三人称战斗体验的庞大开放世界中发挥你的真正潜力。,2013 年 3 月 25 日,Digital Extremes,0,特别好评,4485,87.0,特别好评,574206,87.0,181509
https://store.steampowered.com/app/1245620/,1245620,艾尔登法环,"类魂系列
黑暗奇幻
开放世界
角色扮演
困难
动作角色扮演
第三人称
多人
奇幻
单人
在线合作
动作
合作
玩家对战
氛围
好评原声音轨
暴力
3D
角色自定义
孩童",艾尔登法环是以正统黑暗奇幻世界为舞台的动作RPG游戏。 走进辽阔的场景与地下迷宫探索未知，挑战困难重重的险境，享受克服困境时的成就感吧。 不仅如此，登场角色之间的利害关系谱成的群像剧，更是不容错过。,2022 年 2 月 24 日,FromSoftware Inc.,0,特别好评,7102,94.0,特别好评,600588,92.0,952523
https://store.steampowered.com/app/1687950/,1687950,女神异闻录5皇家版,"日系角色扮演
剧情丰富
好评原声音轨
回合制战斗
动漫
角色扮演
团队角色扮演
单人
恋爱模拟
多结局
回合战略
情感
视觉小说
彩色
色情内容
冒险
劫掠
原声音轨
推理
暴力",夺取吧，用那个意志。,2022 年 10 月 20 日,ATLUS,0,特别好评,2206,90.0,好评如潮,46112,96.0,35298
https://store.steampowered.com/app/236390/,236390,War Thunder,"免费开玩
车辆作战
战斗
二战
虚拟现实
飞行
战争
军事
坦克
海战
模拟
现代
大型多人在线
冷战
动作
拟真
多人
射击
第三人称射击
第三人称",War Thunder上最全面的免费、跨平台大型多人在线军事类游戏，专注于二战和冷战时期的航空、装甲车辆和海军舰艇。现在就加入进来参与在地面、天空和海洋进行的主要战事，并和来自全球各地的几百万玩家们在不断变化的环境中战斗。,2013 年 8 月 15 日,Gaijin Entertainment,0,多半好评,9053,73.0,多半好评,484797,75.0,121180
https://store.steampowered.com/app/1774580/,1774580,星球大战 绝地：幸存者™,"动作
冒险
类魂系列
单人
第三人称
科幻
动作冒险
开放世界
太空
剧情丰富
剑术
跑酷
探索
角色自定义
战斗
角色扮演
氛围
好评原声音轨
困难
多人",在《星球大战 绝地：幸存者™》，这款跨银河系第三人称动作冒险游戏中，卡尔·凯斯提斯的故事仍将继续。,2023 年 4 月 27 日,Respawn,0,褒贬不一,1298,67.0,褒贬不一,47054,66.0,67583
https://store.steampowered.com/app/2161700/,2161700,女神异闻录３ Reload,"日系角色扮演
角色扮演
团队角色扮演
动漫
冒险
策略
回合战略
恋爱模拟
策略角色扮演
视觉小说
黑暗
情感
剧情丰富
彩色
回合制战斗
悬疑
灵异
推理
多结局
劫掠",《女神异闻录３》整装换新，登陆现行最新游戏平台！,2024 年 2 月 1 日,ATLUS,0,好评如潮,1200,95.0,好评如潮,14509,95.0,36703
https://store.steampowered.com/app/1222670/,1222670,The Sims™ 4,"生活模拟
角色自定义
建造
多人
沙盒
爱情
模拟
放松
单人
恋爱模拟
休闲
可爱
拟真
沉浸式模拟
欢乐
免费开玩
孩童
冒险
奇幻
卡通风格",在一个无拘无束的虚拟世界中，享受创造和控制人生的奇妙力量。 得到力量和自由，享受快乐，游戏人生！,2014 年 9 月 2 日,Maxis,0,特别好评,3382,88.0,特别好评,135406,87.0,96185
https://store.steampowered.com/app/1203220/,1203220,永劫无间,"大逃杀
多人
武术
玩家对战
动作
女性主角
格斗
大型多人在线
角色自定义
生存
第三人称
砍杀
剑术
动漫
跑酷
冒险
成人
免费开玩
暴力
血腥",风靡全球的多人动作竞技大作，现已永久免费！来这里舞利刃、端火枪，享受远近结合的华丽战斗！驾驭风沙、机甲，化身野兽、大佛，体验风格迥异的英雄能力！在这场60人生存竞技中成为最后的赢家！,2021 年 8 月 11 日,24 Entertainment,0,多半好评,6575,75.0,多半好评,219587,75.0,372076
https://store.steampowered.com/app/983870/,983870,FOUNDRY,"抢先体验
自动化
基地建设
沙盒
资源管理
制作
建造
机器人
体素
开放世界
程序生成
合作
多人
在线合作
模拟
策略
第一人称
单人
科幻
可模组化",在无限大的方块像素世界里，建造一座不断优化、追求完美的工厂，或是堪比艺术品的惊世之作。挖掘和收获资源，让不断扩张的生产线实现自动化运转，管理复杂的系统，同时在机械领域不断研究，日渐精进，更多玩法尽在《铸造厂》。,2024 年 5 月 2 日,Channel 3 Entertainment,0,特别好评,509,82.0,特别好评,509,82.0,4160
